Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week
205,7/1/2019,female,100,black,3,swirl,yes,<100K,yes,8
206,7/1/2019,female,100,black,10,swirl,yes,<100K,yes,8
207,7/1/2019,male,100,no preference,7,swirl,yes,,yes,7
208,7/1/2019,male,100,blue,0,swirl,yes,,yes,7
209,7/1/2019,female,100,black,9,swirl,yes,<100K,yes,4
210,7/1/2019,female,100,no preference,2,swirl,yes,<100K,yes,2
211,7/1/2019,male,100,no preference,1,swirl,yes,,yes,10
212,7/1/2019,male,100,blue,10,swirl,yes,,yes,2
213,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,9
214,7/1/2019,male,100,no preference,0,swirl,yes,,yes,1
215,7/1/2019,female,100,white,7,swirl,yes,<100K,yes,6
216,7/1/2019,male,100,white,6,swirl,yes,,yes,7
217,7/1/2019,female,100,black,4,swirl,yes,<100K,yes,10
218,7/1/2019,female,100,blue,3,swirl,yes,<100K,yes,9
219,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,6
220,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,2
221,7/1/2019,male,100,white,8,swirl,yes,,yes,8
222,7/1/2019,male,100,white,9,swirl,yes,,yes,8
223,7/1/2019,female,100,no preference,10,swirl,yes,<100K,yes,2
224,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,6
225,7/1/2019,female,100,red,2,swirl,yes,<100K,yes,5
226,7/1/2019,female,100,silver,2,swirl,yes,<100K,yes,10
227,7/1/2019,female,100,black,7,swirl,yes,<100K,yes,7
228,7/1/2019,male,100,red,5,swirl,yes,,yes,4
229,7/1/2019,female,100,black,0,swirl,yes,<100K,yes,8
230,7/1/2019,female,100,white,1,swirl,yes,<100K,yes,4
231,7/1/2019,female,100,black,5,swirl,yes,<100K,yes,7
232,7/1/2019,female,100,blue,5,swirl,yes,<100K,yes,9
233,7/1/2019,male,100,black,6,swirl,yes,,yes,3
234,7/1/2019,male,100,white,1,swirl,yes,,yes,8
235,7/1/2019,female,100,white,5,swirl,yes,<100K,yes,6
236,7/1/2019,female,100,no preference,9,swirl,yes,<100K,yes,6
237,7/1/2019,female,100,red,9,swirl,yes,<100K,yes,8
238,7/1/2019,female,100,silver,1,swirl,yes,<100K,yes,3
239,7/1/2019,female,100,black,8,swirl,yes,<100K,yes,7
240,7/1/2019,female,100,silver,9,swirl,yes,<100K,yes,4
241,7/1/2019,male,100,red,10,swirl,yes,,yes,6
242,7/1/2019,female,100,silver,7,swirl,yes,<100K,yes,6
243,7/1/2019,female,100,no preference,4,swirl,yes,<100K,yes,8
244,7/1/2019,male,100,white,10,swirl,yes,,yes,10
245,7/1/2019,female,100,black,4,swirl,yes,<100K,yes,1
246,7/1/2019,male,100,silver,8,swirl,yes,,yes,8
247,7/1/2019,male,100,white,7,swirl,yes,,yes,3
248,7/1/2019,male,100,white,5,swirl,yes,,yes,7
249,7/1/2019,male,100,no preference,4,swirl,yes,,yes,2
250,7/1/2019,female,100,silver,3,swirl,yes,<100K,yes,5
251,7/1/2019,female,100,white,5,swirl,yes,<100K,yes,6
252,7/1/2019,female,100,silver,5,swirl,yes,<100K,yes,3
253,7/1/2019,female,100,silver,6,swirl,yes,<100K,yes,3
254,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,6
255,7/1/2019,male,100,silver,7,swirl,yes,,yes,9
256,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,8
257,7/1/2019,female,100,red,4,swirl,yes,<100K,yes,6
258,7/1/2019,male,100,no preference,10,swirl,yes,,yes,4
259,7/1/2019,female,100,red,5,swirl,yes,<100K,yes,1
260,7/1/2019,female,100,black,9,swirl,yes,<100K,yes,8
261,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,1
262,7/1/2019,male,100,silver,8,swirl,yes,,yes,4
263,7/1/2019,female,100,no preference,4,swirl,yes,<100K,yes,7
264,7/1/2019,male,100,white,7,swirl,yes,,yes,4
265,7/1/2019,female,100,white,6,swirl,yes,<100K,yes,2
266,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,5
267,7/1/2019,female,100,white,5,swirl,yes,<100K,yes,6
268,7/1/2019,female,100,blue,9,swirl,yes,<100K,yes,8
269,7/1/2019,female,100,no preference,5,swirl,yes,<100K,yes,10
270,7/1/2019,male,100,no preference,7,swirl,yes,,yes,3
271,7/1/2019,female,100,black,8,swirl,yes,<100K,yes,4
272,7/1/2019,female,100,no preference,8,swirl,yes,<100K,yes,10
273,7/1/2019,female,100,blue,4,swirl,yes,<100K,yes,5
274,7/1/2019,female,100,red,10,swirl,yes,<100K,yes,2
275,7/1/2019,female,100,blue,3,swirl,yes,<100K,yes,3
276,7/1/2019,female,100,white,10,swirl,yes,<100K,yes,9
277,7/1/2019,male,100,no preference,6,swirl,yes,,yes,5
278,7/1/2019,male,100,blue,9,swirl,yes,,yes,4
279,7/1/2019,male,100,silver,3,swirl,yes,,yes,7
280,7/1/2019,female,100,red,6,swirl,yes,<100K,yes,1
281,7/1/2019,female,100,red,8,specialty,yes,<100K,yes,7
282,7/1/2019,female,100,no preference,3,chocolate,yes,<100K,yes,6
283,7/1/2019,female,100,blue,4,swirl,yes,<100K,yes,1
284,7/1/2019,female,100,blue,3,swirl,yes,<100K,yes,3
285,7/1/2019,male,100,no preference,8,no preference,yes,,yes,1
286,7/1/2019,female,100,blue,2,specialty,yes,<100K,yes,3
287,7/1/2019,female,100,no preference,8,vanilla,yes,<100K,yes,7
288,7/1/2019,female,100,silver,5,swirl,yes,<100K,yes,10
289,7/1/2019,male,100,no preference,8,no preference,yes,,yes,9
290,7/1/2019,male,100,white,9,specialty,yes,,yes,6
291,7/1/2019,male,100,white,6,specialty,yes,,yes,1
292,7/1/2019,female,100,black,2,swirl,yes,<100K,yes,8
293,7/1/2019,female,100,black,9,chocolate,yes,<100K,yes,6
294,7/1/2019,female,100,blue,4,vanilla,yes,<100K,yes,9
295,7/1/2019,female,100,blue,1,swirl,yes,<100K,yes,6
296,7/1/2019,female,100,no preference,4,chocolate,yes,<100K,yes,5
297,7/1/2019,female,100,silver,4,chocolate,yes,<100K,yes,7
298,7/1/2019,female,100,blue,10,specialty,yes,<100K,yes,2
299,7/1/2019,female,100,no preference,1,chocolate,yes,<100K,yes,6
300,7/1/2019,male,100,no preference,6,swirl,yes,,yes,6
301,7/1/2019,male,100,black,7,chocolate,yes,,yes,6
302,7/1/2019,male,100,no preference,9,no preference,yes,,yes,5
303,7/1/2019,male,100,blue,7,vanilla,yes,,yes,8
304,7/1/2019,female,100,silver,7,no preference,yes,<100K,yes,9
305,7/1/2019,female,100,blue,1,chocolate,yes,<100K,yes,8
306,7/1/2019,male,100,white,9,specialty,yes,,yes,6
307,7/1/2019,female,100,no preference,10,vanilla,yes,<100K,yes,9
308,7/1/2019,male,100,no preference,4,swirl,yes,,yes,6
309,7/1/2019,male,100,black,3,chocolate,yes,,yes,6
310,7/1/2019,female,100,no preference,7,chocolate,yes,<100K,yes,6
311,7/1/2019,male,100,no preference,10,no preference,yes,,yes,5
312,7/1/2019,female,100,silver,9,chocolate,yes,<100K,yes,8
313,7/1/2019,female,100,silver,6,chocolate,yes,<100K,yes,9
314,7/1/2019,female,100,silver,10,no preference,yes,<100K,yes,7
315,7/1/2019,female,100,red,1,chocolate,yes,<100K,yes,5
316,7/1/2019,female,100,blue,5,vanilla,yes,<100K,yes,2
317,7/1/2019,female,100,no preference,9,swirl,yes,<100K,yes,7
318,7/1/2019,female,100,silver,4,specialty,yes,<100K,yes,2
319,7/1/2019,male,100,blue,4,specialty,yes,,yes,7
320,7/1/2019,male,100,silver,10,specialty,yes,,yes,10
321,7/1/2019,female,100,black,10,chocolate,yes,<100K,yes,10
322,7/1/2019,female,100,red,4,no preference,yes,<100K,yes,6
323,7/1/2019,female,100,silver,5,no preference,yes,<100K,yes,2
324,7/1/2019,female,100,blue,4,vanilla,yes,<100K,yes,6
325,7/1/2019,male,100,blue,4,swirl,yes,,yes,2
326,7/1/2019,male,100,black,1,specialty,yes,,yes,10
327,7/1/2019,male,100,no preference,10,swirl,yes,,yes,7
328,7/1/2019,female,100,no preference,2,specialty,yes,<100K,yes,3
329,7/1/2019,female,100,red,8,swirl,yes,<100K,yes,2
330,7/1/2019,female,100,white,1,vanilla,yes,<100K,yes,8
331,7/1/2019,female,100,black,2,chocolate,yes,<100K,yes,9
332,7/1/2019,female,100,no preference,2,no preference,yes,<100K,yes,5
333,7/1/2019,male,100,black,1,chocolate,yes,,yes,5
334,7/1/2019,female,100,black,5,no preference,yes,<100K,yes,1
335,7/1/2019,female,100,no preference,9,vanilla,yes,<100K,yes,2
336,7/1/2019,female,100,no preference,0,chocolate,yes,<100K,yes,8
337,7/1/2019,female,100,no preference,5,specialty,yes,<100K,yes,4
338,7/1/2019,male,100,black,6,no preference,yes,,yes,3
339,7/1/2019,female,100,white,10,no preference,yes,<100K,yes,7
340,7/1/2019,female,100,white,2,chocolate,yes,<100K,yes,6
341,7/1/2019,male,100,no preference,3,specialty,yes,,yes,9
342,7/1/2019,male,100,white,1,specialty,yes,,yes,6
343,7/1/2019,female,100,blue,8,swirl,yes,<100K,yes,8
344,7/1/2019,female,100,silver,6,specialty,yes,<100K,yes,6
345,7/1/2019,male,100,white,6,no preference,no,,yes,5
346,7/1/2019,male,100,silver,5,swirl,no,,yes,7
347,7/1/2019,female,100,red,7,chocolate,no,<100K,yes,6
348,7/1/2019,male,100,no preference,9,no preference,no,,yes,8
349,7/1/2019,male,100,black,4,no preference,no,,yes,6
350,7/1/2019,male,100,white,3,chocolate,no,,yes,8
351,7/1/2019,female,100,white,0,no preference,yes,<100K,yes,2
352,7/1/2019,male,100,black,9,no preference,no,,yes,6
353,7/1/2019,male,100,silver,5,chocolate,yes,,yes,5
354,7/1/2019,male,100,no preference,3,no preference,yes,,yes,8
355,7/1/2019,male,100,blue,7,chocolate,yes,,yes,7
356,7/1/2019,male,100,black,0,chocolate,yes,,yes,5
357,7/1/2019,male,100,white,8,swirl,no,,yes,7
358,7/1/2019,male,100,blue,5,no preference,no,,yes,5
359,7/1/2019,female,100,no preference,3,chocolate,yes,<100K,yes,10
360,7/1/2019,female,100,red,1,chocolate,yes,<100K,yes,10
361,7/1/2019,male,100,white,0,no preference,yes,,yes,4
362,7/1/2019,female,100,silver,9,swirl,yes,<100K,yes,4
363,7/1/2019,male,100,black,0,no preference,yes,,yes,4
364,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,5
365,7/1/2019,female,100,black,7,chocolate,yes,<100K,yes,9
366,7/1/2019,female,100,blue,8,specialty,yes,<100K,yes,9
367,7/1/2019,female,100,silver,0,chocolate,yes,<100K,yes,7
368,7/1/2019,male,100,white,0,chocolate,yes,,yes,5
369,7/1/2019,female,100,red,10,chocolate,yes,<100K,yes,6
370,7/1/2019,male,100,black,2,no preference,no,,yes,6
371,7/1/2019,male,100,black,7,swirl,yes,,yes,9
372,7/1/2019,male,100,red,5,no preference,yes,,yes,1
373,7/1/2019,male,100,white,5,vanilla,no,,yes,1
374,7/1/2019,male,100,blue,9,swirl,no,,yes,10
375,7/1/2019,female,100,red,8,vanilla,yes,<100K,yes,2
376,7/1/2019,female,100,black,3,swirl,yes,<100K,yes,8
377,7/1/2019,female,100,no preference,4,chocolate,yes,<100K,yes,8
378,7/1/2019,female,100,black,3,chocolate,yes,<100K,yes,7
379,7/1/2019,male,100,red,4,chocolate,yes,,yes,10
380,7/1/2019,female,100,blue,5,swirl,no,<100K,yes,5
381,7/1/2019,female,100,black,6,swirl,yes,<100K,yes,5
382,7/1/2019,male,100,blue,2,no preference,no,,yes,9
383,7/1/2019,female,100,red,1,chocolate,yes,<100K,yes,7
384,7/1/2019,female,100,silver,8,swirl,no,<100K,yes,4
385,7/1/2019,female,100,silver,3,no preference,yes,<100K,yes,9
386,7/1/2019,male,100,blue,2,vanilla,yes,,yes,1
387,7/1/2019,female,100,red,7,chocolate,yes,<100K,yes,5
388,7/1/2019,male,100,white,4,chocolate,yes,,yes,10
389,7/1/2019,female,100,no preference,1,specialty,no,<100K,yes,6
390,7/1/2019,female,100,red,2,swirl,no,<100K,yes,2
391,7/1/2019,male,100,black,0,specialty,yes,,yes,7
392,7/1/2019,female,100,white,9,no preference,yes,<100K,yes,4
393,7/1/2019,male,100,blue,2,no preference,no,,yes,6
394,7/1/2019,female,100,black,10,chocolate,no,<100K,yes,8
395,7/1/2019,female,100,silver,5,chocolate,yes,<100K,yes,7
396,7/1/2019,male,100,blue,8,specialty,yes,,yes,5
397,7/1/2019,female,100,black,8,specialty,yes,<100K,yes,5
398,7/1/2019,male,100,black,5,no preference,no,,yes,2
399,7/1/2019,female,100,white,1,specialty,no,<100K,yes,4
400,7/1/2019,female,100,silver,8,no preference,no,<100K,yes,9
401,7/1/2019,female,100,no preference,7,specialty,yes,<100K,yes,6
402,7/1/2019,male,100,blue,8,vanilla,no,,yes,1
403,7/1/2019,female,100,black,8,swirl,no,<100K,yes,10
404,7/1/2019,female,100,silver,7,chocolate,yes,<100K,yes,8
405,7/1/2019,female,100,red,8,swirl,no,<100K,yes,6
406,7/1/2019,female,100,white,10,specialty,yes,<100K,yes,2
407,7/1/2019,female,100,blue,4,specialty,no,<100K,yes,5
408,7/1/2019,male,100,black,9,specialty,yes,,yes,6
409,7/1/2019,female,100,red,6,chocolate,no,<100K,yes,6
410,7/1/2019,male,100,black,6,no preference,no,,yes,7
411,7/1/2019,male,100,silver,5,no preference,yes,,yes,9
412,7/1/2019,female,100,no preference,10,swirl,no,<100K,yes,4
413,7/1/2019,female,100,silver,2,no preference,yes,<100K,yes,6
414,7/1/2019,female,100,silver,8,vanilla,yes,<100K,yes,4
415,7/1/2019,male,100,no preference,6,vanilla,no,,yes,4
416,7/1/2019,female,100,white,4,swirl,no,<100K,yes,6
417,7/1/2019,male,100,white,7,specialty,no,,yes,5
418,7/1/2019,female,100,black,3,chocolate,yes,<100K,yes,8
419,7/1/2019,female,100,white,8,swirl,no,<100K,yes,4
420,7/1/2019,female,100,white,5,no preference,yes,<100K,yes,9
